,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
2724,B0007RDVD4,"[0, 0]",1,"['bought', 'polish', 'chrome', 'wheels', 'powerball', 'mini', 'huge', 'letdown', 'foam', 'started', 'disintegrating', 'immediately', 'run', 'angle', 'wheels', 'surface', 'foam', 'simply', 'weak', 'rips', 'shreds', 'use', 'very', 'smooth', 'surfaces', 'angles', 'ridges', 'bumps', 'etc', 'youre', 'polishing', 'something', 'simple', 'shape', 'dont', 'need', 'first', 'place', 'grab', 'rag', 'youll', 'done', 'lot', 'faster']","06 9, 2014",A2GZNBSHUGZ85U,Brian D.,falls apart,1402272000
2760,B0007RDVH0,"[2, 3]",1,"['costly', 'abd', 'doesnt', 'work', 'better', 'easier', 'brush', 'anddetergent', 'clean', 'tires', 'rims', 'buy', 'again']","09 23, 2010",A29OH3JI952QW3,"Dan Briggs ""woodworker""",save ur money,1285200000
2761,B0007RDVH0,"[1, 3]",1,"['used', 'clean', 'expensive', 'set', 'whitewall', 'tires', 'before', 'selling', 'classic', 'car', 'auction', 'big', 'mistake', 'bought', 'wanted', 'use', 'something', 'safe', 'clean', 'whitewalls', 'ok', 'white', 'area', 'didnt', 'ruin', 'black', 'part', 'tires', 'ended', 'up', 'discolored', 'streaks', 'looked', 'horrible', 'tires', 'looked', 'better', 'before', 'used', 'it409', 'simple', 'green', 'better', 'cleaning', 'producti', 'never', 'trust', 'brand', 'product']","02 26, 2014",A350LKLQIZ1QY1,Flux Capacitor,Horrible! Tires looked better before I used it!,1393372800
2776,B0007RDVH0,"[0, 0]",2,"['bought', 'three', 'bottles', 'sprayed', 'very', 'poorly', 'came', 'out', 'blotches', 'cover', 'tire', 'well', 'take', 'sponge', 'spread', 'evenly', 'tires', 'cleaning', 'very', 'good', 'better', 'results', 'car', 'wash', 'suds']","04 10, 2014",ASTPTE6EJ22ZP,R. Mcalister,Doesn't spray well.,1397088000
2796,B0007TR4CQ,"[1, 2]",1,"['per', 'another', 'reviewer', 'expiration', 'date', 'give', 'break', 'mine', 'arrived', 'dec', '2012', 'expire', 'jul', '2016', '35', 'years', 'enjoy', 'purchase', 'perhaps', 'resin', 'gets', 'brittle', 'perhaps', 'thats', 'long', 'lawyers', 'wanted', 'wait', 'suitthey', 'placarded', 'fair', 'noted', 'description', 'used', '29', 'tires', 'max', 'fine', 'cars', 'trailers', 'usable', 'motorhomes', 'typically', 'start', '30', 'go', 'up', 'tight', 'curve', 'chock', 'means', 'larger', 'tire', 'even', '30', '31', 'hits', 'top', 'chock', 'first', 'chocks', 'hard', 'slick', 'plastic', 'grab', 'surface', 'concrete', 'asphalt', 'tire', 'pushes', 'chock', 'alongtoo', 'bad', 'really', 'really', 'beefy', 'chock', 'great', 'ergonomic', 'design', 'allowing', 'easily', 'grab', 'insertion', 'extraction', 'sad', 'dont', 'think', 'basic', 'purpose', 'functional']","12 3, 2012",A2QC1R1PB432QD,G3,"Expiration date, wrong curve, too slick",1354492800
2815,B0007WTE08,"[8, 11]",1,"['wallpaper', 'seam', 'roller', 'bought', 'plastic', 'one', 'lowes', '2', 'bucks', 'u', 'rubber', 'one', '6', 'bucks', 'hardware', 'store', 'im', 'sure', 'roller', 'work', '13', 'bucks', 'crazy', 'beat', 'heck', 'out', '2', 'dollar', 'one', 'still', 'going']","07 16, 2011",A15YJ2DV1S9ZP2,jdep,wow,1310774400
2836,B0007ZAJRM,"[0, 1]",2,"['6', 'years', 'old', 'mazda', '6', '25', 'liters', 'gh', '5', 'speed', 'shifts', 'abruptly', '12', 'gear', 'tranny', 'filter', 'change', 'drain', 'fill', '3x', 'before', 'pouring', 'whole', 'bottle', 'atf', 'requires', '85', 'liters', 'difference', 'stills', 'shift', 'hard', 'doesnt', 'makes', 'shift', 'worse', 'ill', 'give', '2', 'stars', 'wasting', 'though', 'cheap', 'gamble']","06 15, 2014",A15CQT1Y71J4G,Reeve Lim,Doesn't work for Mazda 6 GH,1402790400
2860,B00080QHMM,"[1, 1]",2,"['gauge', 'accurate', 'easy', 'read', 'very', 'difficult', 'good', 'seal', 'rubber', 'inside', 'stem', 'right', 'angle', 'good', 'seal', 'meantime', 'air', 'escaping', 'game', 'tire', 'pressure', 'right', 'want']","01 3, 2012",A2WQUFBCB8DC66,DB Cooper,"accurate, but difficult to use",1325548800
2876,B00080QHMM,"[3, 3]",2,"['bought', 'tire', 'gauge', 'little', 'over', 'two', 'months', 'ago', 'first', 'few', 'times', 'used', 'performed', 'admirably', 'ergonomic', 'clear', 'lcd', 'display', 'gave', 'fast', 'precise', 'readingfast', 'forward', 'end', 'june', 'three', 'uses', 'being', 'stored', 'glove', 'compartment', 'otherwise', 'gauge', 'now', 'wildly', 'reading', 'tires', 'truck', '32', 'psi', 'four', 'weeks', 'ago', 'plugging', 'today', 'registered', '415', 'psi', 'thought', 'maybe', 'heat', 'weve', 'past', 'week', 'change', '95', 'psi', 'seemed', 'little', 'high', 'tested', 'two', 'tire', 'gauges', 'read', '33', '335', 'psi', 'respectively', 'used', 'pump', 'manual', 'gauge', 'drain', 'tire', 'inflate', '33', 'psi', 'tested', 'tire', 'gauge', 'read', 'first', '415', 'psi', 'ten', 'seconds', 'later', '40', 'psiperhaps', 'dud', 'gauge', 'thats', 'much', 'soon', 'raises', 'red', 'flag', 'ill', 'looking', 'next', 'tire', 'gauge', 'elsewhere']","06 29, 2013",A3KZ7OH4VRL048,Jonathan,Perhaps I got a dud,1372464000
2884,B00080QHMM,"[28, 31]",1,"['bought', 'canadian', 'tire', 'within', 'year', 'tire', 'gauge', 'split', 'lengthwise', 'along', 'seam', 'making', 'useless', 'air', 'leaks', 'out', 'side', 'doesnt', 'measure', 'pressure', 'give', 'one', 'star', 'lack', 'durability', 'use', 'daily', 'maybe', '10', 'uses']","06 10, 2010",A1231ZWZ66NDHF,ML,split along the side = useless gauge,1276128000
2885,B00080QHMM,"[6, 7]",2,"['purchased', 'tire', 'gauge', 'becuase', 'wanted', 'digital', 'display', 'gauge', 'provides1', 'psi', 'resolution', 'accutire', 'ms4021b', 'generally', 'job', 'twoannoying', 'features', 'changed', '1', 'batteries', 'replaced', 'user2', 'valve', 'stems', 'accutire', 'ms4021b', 'make', 'seal', 'accurate', 'readingref', '1', 'send', 'gage', 'manufacturer', 'replace', 'batteries', 'free', 'charge', 'turnaround', 'time', 'more', 'two', 'weeks', 'call', 'service', 'department', 'both', 'times', 'batteries', 'replaced', 'replacement', 'tire', 'gaugefurthermore', 'batteries', 'last', 'more', 'year', 'use', 'tha', 'gauge', 'weekly', 'basis', 'vehiclesref', '2', 'appears', 'due', 'chuck', 'design', 'ie', 'contact', 'pin', 'notprotrude', 'far', 'enough', 'allow', 'positive', 'seal', 'valve', 'stemsi', 'still', 'searching', 'digital', 'tire', 'gauge', 'allows', 'user', 'replace', 'batteries']","11 1, 2009",A2Z3LXLRFUG6R7,Motor Head,Not Recommended,1257033600
2890,B00080QHMM,"[1, 2]",1,"['waste', 'money', 'bough', 'mid', 'grade', '34full', 'size34', 'digital', 'gauge', 'found', 'one', '5lbs']","07 29, 2013",AUZINV544Y1ZC,RDR,Digital Tire gauge,1375056000
2891,B00080QHMM,"[0, 1]",2,"['well', 'works', 'look', 'expect', 'product', 'user', 'friendlythis', 'one', 'awkward', 'put', 'valve', 'read', 'always', 'give', 'good', 'readout', 'first', 'try', 'check', 'valve', 'two', 'three', 'times', 'proper', 'read', 'time', 'four', 'tires', 'knees', 'shot', 'digital', 'read', 'out', 'very', 'bright', 'looking', 'better', 'gauge', 'lots', 'folks', 'liked', 'though', 'way', 'tryed', 'up', 'youof', 'course', 'young', 'enough', 'good', 'eyes', 'knees', 'probably', 'right', 'good', 'luck']","04 23, 2013",A73I3YMD9MJ5W,"Regular Guy ""Bob""",awkward,1366675200
2910,B0008D6NK0,"[0, 0]",2,"['reviewer', 'unable', 'wide', 'enough', 'positioning', 'lasers', 'reach', 'center', 'dash', 'both', 'cars', 'dremel', 'out', 'surrounds', 'one', 'lasers', 'go', 'right', 'position', 'garage', 'ceiling', 'height', 'works', 'fine', 'moderate', 'improvement', 'over', 'tennis', 'ball', 'methodupdateafter', 'installing', 'device', 'months', 'noticed', 'both', 'lasers', 'getting', 'pretty', 'dim', 'few', 'times', 'completely', 'missed', 'seeing', 'dashboard', 'pulled', 'car', 'far', 'luckily', 'use', 'brick', 'safety', 'stop', 'under', 'tire', 'nicked', 'wall', 'short', 'product', 'life']","07 16, 2013",A2JH2EPEGQPWW,Amazon Customer,Works but needs modification,1373932800
2924,B0008FUH46,"[0, 0]",1,"['junk', 'watch', 'videos', 'youtube', 'effortless']","07 15, 2014",A3PSL7ULVHJRD2,,Junk. Watch the videos on Youtube. It's effortless ...,1405382400
2957,B00092893E,"[4, 22]",1,"['tried', 'out', 'twice', 'per', 'instructions', 'didnt', 'make', 'much', 'difference', 'kept', '20']","02 4, 2013",A1PJVW2GSF73E7,thejmjohnson,Notice no difference.,1359936000
2985,B000994BU2,"[0, 2]",2,"['paint', 'thick', 'didnt', 'spray', 'very', 'even', 'trying', 'tint', 'fog', 'lights', 'didnt', 'work']","04 2, 2013",A2B38WJFTN6MRB,"Donald A. Morgan ""Canonkid1966""",didnt work as described,1364860800
2998,B0009F9UZM,"[1, 5]",1,"['ordered', 'one', '2008', 'saturn', 'vue', 'package', 'marked', '2008', 'vue', 'item', 'work', 'contacted', 'storefront', 'fullfilled', 'order', 'amazon', 'referred', 'curt', 'mfg', 'obtain', 'return', 'number', 'contact', 'seller', 'again', 'refund', 'purchased', 'replacement', 'local', 'dealer', 'seller', 'later', 'reported', 'wrong', 'item', 'number', 'somehow', 'package']","03 27, 2011",A1XDRSGSV56YQ0,"Thomas A. Renick ""OGC5""",T connector-Double check item number,1301184000
3025,B0009I1WF0,"[3, 9]",1,"['wanted', 'good', 'quality', 'highest', 'priced', 'covers', 'listed', 'amazon', '4', 'sets', 'leftorder', 'soon', 'ordered', 'correct', 'size', 'part', 'number', 'correct', 'size', 'part', 'receiptinvoice', 'arrived', '19', 'days', 'later', 'sent', 'covers', '13', 'wheel', 'needed', '28', 'contacted', 'amazon', 'size', 'longer', 'available', 'sent', 'kidding', '13', 'covers', '28', 'wheels', 'made', 'decisiona', 'monkeyso', 'sent', 'back', 'refund', 'couldnt', 'tell', 'covers', 'good', 'quality', 'cause', 'never', 'opened', 'box', 'major', 'down', 'waiting', '3', 'weeks', 'went', 'local', 'camper', 'store', 'set', 'next', 'day', 'sometimes', 'saving', 'few', 'bucks', 'aint', 'worth']","08 6, 2011",A1UDQQU0EPVH8C,"wayner-Take-1 ""take-1""",Poor advertisement...wrong item,1312588800
3038,B0009IBJAS,"[66, 74]",1,"['schumacher', 'sem1562a', '15', 'amp', 'speed', 'charge', 'maintainerwell', 'worth', 'pricedoes', 'exactly', 'suppose', 'doupdate', 'using', 'charger', 'less', '5', 'mos', 'maintain', 'rv', 'seldom', 'driven', 'found', 'charger', 'failing', 'cycle', 'back', 'charge', 'mode', 'properly', 'battery', 'hooked', 'stone', 'dead', 'now', 'ill', 'research', 'find', 'out', 'annoying', 'process', 'returning', 'charger', 'warrantyupdate', 'contacted', 'manufacturer', 'schumacher', 'concerning', 'failure', 'charger', '3', 'weeks', 'received', 'response', 'doesnt', 'look', 'going', 'guess', 'ill', 'take', 'loss', 'making', 'bad', 'choice', 'trash', 'btw', 'using', 'two', 'chicago', 'electric', 'board', 'chargers', 'one', 'jeep', 'mercury', 'sable', 'both', 'giving', 'very', 'good', 'service', 'less', 'expensive', 'schumacher', 'battery', 'tender']","01 5, 2011",A2R8QRDT7OY7D6,"littlejohn252 ""jlj""",Great little charger (Note: updates),1294185600
3039,B0009IBJAS,"[7, 16]",2,"['week', 'make', 'absolutely', 'sure', 'clips', 'dont', 'touch', 'anything', 'attached', 'positive', 'alligator', 'clip', 'close', 'inner', 'hood', 'liner', 'burned', 'flamed', 'up', 'burnt', 'red', 'plastic', 'boot', 'didnt', 'blow', 'liner', 'out', 'freaked', 'vehicle', 'gone', 'poof', 'pilot', 'error', 'bad', 'design', 'knowsedit', 'called', 'schumacher', 'theyre', 'replacing', 'problem', 'upping', 'rating', 'thanks', 'schumacher']","12 7, 2007",A3J9T84USTXM9Y,NeuronPetkowski,ALLIGATOR CLIP DANGER,1196985600
3049,B0009IBJAS,"[1, 2]",1,"['ive', 'sent', 'back', 'two', 'both', 'failed', 'talk', 'cheap', 'junk', 'dont', 'waist', 'money', 'now', 'genius', 'g3500', '35amp', 'kicks', 'big', 'time', 'butt']","03 11, 2012",A32KSZ8V0TD216,"URCME ""urcme""",Cheap Junk,1331424000
3052,B0009IBJE4,"[4, 5]",2,"['another', 'reviewer', 'mentioned', 'charger', 'puts', 'out', '150v', 'agm', 'mode', 'thats', 'many', 'volts', 'agm', 'batteries', 'caused', 'outgas', 'reducing', 'batterys', 'life', 'optima', 'yellow', 'top', 'agm', 'battery', 'rated', '15v', 'charging', 'thought', 'charger', 'okay', 'charger', 'puts', 'out', '155v', 'find', 'specs', '156v', 'regulated', 'voltage', 'okay', 'rapid', 'charging', 'battery', 'dont', 'define', 'rapid', 'charging', 'means', '156v', 'charge', 'until', 'current', 'drops', 'below', '1', 'amp', 'think', 'means', '156v', 'until', 'battery', 'gets', 'closer', 'being', 'charged', 'stops', 'accepting', 'high', 'amperage', 'unfortunately', 'charger', 'exact', 'opposite', 'starting', 'lower', 'voltage', 'increasing', '155v', 'around', 'decides', 'battery', '90', 'charge', 'seems', 'equate', '126', '127v', 'battery', 'charger', 'keeps', 'outputting', '155v', 'until', 'battery', 'fully', 'charged', 'take', 'hours', 'seems', 'unlikely', 'thats', 'good', 'batteries', 'im', 'pretty', 'sure', 'against', 'charging', 'specs', 'battery', 'note', 'charger', 'shows', '154v', 'readout', 'volt', 'meter', 'shows', 'actually', '155vnevertheless', 'keep', 'doing', '155v', 'checked', 'periodically', 'make', 'sure', 'battery', 'wasnt', 'hot', 'never', 'even', 'felt', 'warm', 'ir', 'temperature', 'gun', 'read', '86f', 'max', 'wasnt', 'hissing', 'hissing', 'mean', 'overcharged', 'releasing', 'gas', 'permanently', 'reducing', 'life', 'took', 'exactly', '12', 'hours', 'charger', 'decide', '100', 'charged', 'go', 'maintenance', 'mode', 'picked', '124v', 'agm', 'batteries', 'supposed', 'charged', 'around', '136v', 'maintenance', 'float', 'charging', 'idea', 'picked', '124v', 'left', 'another', 'hour', 'actually', 'reduced', 'voltage', '123', 'point', 'took', 'charger', 'volt', 'meter', 'battery', '1231vi', 'cant', 'decide', 'charger', 'broken', 'weird', 'charging', 'algorithm', 'actually', 'very', 'smart', 'battery', 'discharged', '35v', 'few', 'weeks', 'ago', 'well', 'below', 'voltage', 'designed', 'discharged', 'deep', 'cycle', 'even', 'deep', 'cycles', 'dont', 'tolerate', 'discharging', 'below', '50', 'even', 'below', '105v', 'hurt', 'now', 'damaged', 'wont', 'hold', 'full', '136v', 'supposed', 'instead', 'leave', 'charger', '155v', 'hour', 'hits', '128v', 'quickly', 'loses', 'charge', '125v', '30', 'minutes', 'maybe', 'charger', 'somehow', 'figured', 'out', 'decided', '124v', 'full', 'charge', 'damaged', 'battery', 'thats', 'used', 'float', 'charge', 'dont', 'see', 'determine', 'battery', '128v', 'higher', 'long', '155v', 'charge', 'knowsi', 'dont', 'know', '154v', 'really', 'bad', 'battery', 'average', 'agm', 'spent', 'awhile', 'researching', 'couldnt', 'find', 'real', 'authoritative', 'information', 'bunch', 'people', 'theorizing', 'above', '15v', 'standard', 'charge', 'battery', 'spec', 'sheet', 'dont', 'think', 'good', 'thing', 'again', 'found', 'research', 'nrel', 'dot', 'govvehiclesandfuelsenergystoragepdfsevs17prespdf', 'showing', 'seriously', 'overvolting', 'yellow', 'top', 'battery', '17v', 'under', 'certain', 'conditions', 'actually', 'increases', 'life', 'dont', 'know', 'think', 'im', 'leaning', 'towards', 'thinking', 'bad', 'thing', 'go', 'against', 'manufacturers', 'spec', 'sheet', 'unless', 'youre', 'lab', 'using', 'specialized', 'chargerswhat', 'know', 'desulfination', 'feature', 'charger', 'didnt', 'thing', 'damaged', 'battery', 'fact', 'dont', 'think', 'even', 'kicked', 'connected', 'charger', 'small', 'sealed', 'lead', 'acid', 'battery', 'left', 'unused', 'long', 'went', 'desulfination', 'mode', 'think', 'manual', 'doesnt', 'youre', 'supposed', 'know', 'over', '8', 'hours', 'pumping', '168v', 'battery', 'until', 'bad', 'bat', 'screen', 'stopped', 'charging', 'time', 'battery', 'never', 'showed', 'over', '15', 'charged', 'charger', 'though', 'end', 'up', 'holding', '109v', 'online', 'research', 'mentioned', 'few', 'places', 'studies', 'showing', 'desulfination', 'actually', 'works', 'im', 'pretty', 'dubious', 'definitely', 'didnt', 'work', 'batteriesit', 'interesting', 'note', 'sealed', 'lead', 'acid', 'battery', 'never', 'warm', 'find', 'curious', 'considering', 'long', 'putting', 'such', 'high', 'voltage', 'charger', 'connected', 'killawatt', 'meter', 'showed', 'charger', 'pulling', '015amps', '9watts', '2amp', 'charging', 'mode', 'maybe', 'charger', 'smart', 'enough', 'use', 'low', 'amperage', 'using', 'high', 'voltage', 'prevents', 'battery', 'getting', 'damaged', 'pushing', '154v', 'agm', 'battery', 'drawing', '035amps', 'actually', 'reduced', 'amps', '029', 'closer', '100', 'charged', 'maybe', 'protects', 'battery', 'overvoltage', 'damage', 'dont', 'know', 'enough', 'sure', 'maybe', 'battery', 'expert', 'chime', 'commentsanother', 'important', 'thing', 'consider', 'desulfination', 'mode', 'damage', 'cars', 'electronics', 'dont', 'remove', 'battery', 'car', 'charge', '168v', 'more', 'cars', 'designed', 'handle', 'found', 'someone', 'mentioning', 'bmw', 'warns', 'use', 'chargers', 'things', 'definitely', 'concern', 'dont', 'know', 'feel', 'comfortable', 'using', 'charger', 'again', 'without', 'removing', 'battery', 'car', 'chargers', 'claim', 'somehow', 'magically', 'detect', 'presence', 'car', 'electronics', 'limit', 'voltage', 'charger', 'nothing', 'manualother', 'design', 'charger', 'nice', 'wires', 'fit', 'pocket', 'beneath', 'retractable', 'handle', 'show', 'battery', 'voltage', 'readout', 'until', 'tell', 'start', 'charging', 'although', 'reads', '01', '02v', 'lower', 'volt', 'meter', 'annoying', 'button', 'lets', 'toggle', 'between', 'display', 'voltage', 'battery', 'percent', 'lets', 'choose', 'standard', 'agm', 'gel', 'cell', 'choose', 'three', 'rates', 'charge', 'slower', '2a', 'charge', 'rate', 'supposed', 'better', 'many', 'batteries', 'use', '2a', '6a', 'arent', 'hurry', 'tried', 'both', 'those', 'modes', 'still', 'puts', 'out', '155v', '6a', 'mode', 'puts', 'out', '153v', '2a', 'modesince', 'dedicated', '12v', 'charger', 'dont', 'worry', 'autodetecting', 'actually', 'automisdetecting', 'discharged', '12v', 'battery', '6v', 'never', 'charging', 'past', '6v', 'problem', 'far', 'many', 'chargers', 'daysdespite', 'nice', 'controls', 'smart', 'form', 'factor', 'give', 'charger', 'low', 'rating', 'think', 'tries', 'push', 'batteries', 'beyond', 'limits', 'name', 'charging', 'quickly', 'fully', 'possible', 'one', 'reviewer', 'caused', 'agm', 'outgas', 'another', 'burnt', 'out', 'battery', 'few', 'months', 'trickle', 'charge', 'mode', 'right', 'brand', 'battery', 'handle', 'chargers', 'output', 'battery', 'isnt', 'damaged', 'probably', 'fine', 'fact', 'damage', 'things', 'even', 'damage', 'car', 'electronics', 'desulfination', 'mode', 'strikes', 'very', 'bad', 'design', 'especially', 'given', 'desulfination', 'seems', 'more', 'marketing', 'ploy', 'valuable', 'feature', 'dont', 'volt', 'meter', 'reads', '01', '02v', 'under', 'actual', 'voltage']","10 27, 2013",A30UFXOF0GS9NM,Chris Dragon,"May damage car electronics or AGM batts, desulfination worthless on 2 batts",1382832000
3065,B0009IK5NU,"[0, 0]",2,"['use', 'back', 'window', 'jeep', 'grand', 'cherokee', 'flex', 'enough', 'full', 'contact', 'window', '834', 'contact', 'purchase', 'again']","02 6, 2013",A3SC6MSQMZEZRN,Jamesyn Quinn,Disappointed,1360108800
3067,B0009IK5NU,"[0, 0]",2,"['quiet', 'smooth', '2', 'months', 'rainy', 'seattle', 'particularly', 'great', 'squeaking', 'now', 'plastic', '34booty34', 'covers', 'arms', 'guess', 'supposed', 'work', 'prevent', 'snow', 'clogging', 'wiper', 'help', 'mehhard', 'ends', 'wipers', 'red', 'plastic', 'caps', 'very', 'distracting', 'see', 'something', 'red', 'swooshing', 'front', 'face', 'rain', 'couldnt', 'use', 'black', 'capsim', 'going', 'look', 'triple', 'bladed', 'wiper', 'blade', 'worked', 'better']","06 21, 2014",A1NMV4MGCEHLZS,kuro0430,Meh,1403308800
3074,B0009IK5NU,"[0, 0]",1,"['09192012', 'delighted', 'product', 'perfect', 'fit', 'jeep', 'commanders', 'products', 'new', 'manufacturer', 'packaging', 'buying', 'amazoncom', 'saved', 'time', 'effort', 'installed', 'within', 'minutes', 'opening', 'shipping', 'containers', 'ready', 'go', 'within', 'two', 'minutes', 'great', 'service', 'end', 'result', '90', 'days', 'use', 'very', 'dissappointing1242013', 'nothing', 'make', 'wiper', 'blades', 'lay', 'flat', 'windshield', 'leaves', 'uncleared', 'mess', 'right', 'drivers', 'viewing', 'area', 'im', 'replacing', 'piaa', 'super', 'silicone', 'blades', 'expect', 'piaa', 'perform', 'better', 'washinton', 'dc', 'area', 'ive', 'used', 'anco', 'winter', 'blades', 'before', 'without', 'problems', 'units', 'serious', 'problem', 'cold', 'below', '20', 'degrees', 'f', 'weather', 'rubber', 'case', 'around', 'mechanism', 'gets', 'stiff', 'blade', 'stay', 'flat', 'against', 'windshield', 'moves', 'curved', 'rest', 'position', 'windshield', 'leaves', 'uncleared', 'area', 'middle', 'drivers', 'viewing', 'good', 'thing', 'use', 'again', 'several', 'warm', 'winters', 'middleatlantic', 'coast', 'area', 'didnt', 'experience', 'issue', 'before', 'rubber', 'case', 'keep', 'ice', 'snow', 'out', 'wiper', 'mechanism', 'good', 'idea', 'doesnt', 'work', 'sad']","09 24, 2012",A4GHPW9AAH1NY,Thule1,Won't stay flat in COLD weather,1348444800
3081,B0009IK5SK,"[0, 0]",1,"['actually', 'bought', 'local', 'auto', 'parts', 'store', 'year', 'ago', 'started', 'raining', 'out', 'old', 'blades', 'helping', 'right', 'out', 'box', 'worked', 'ok', 'within', 'few', 'months', 'streaking', 'time', 'wet', 'season', 'ended', 'totally', 'ineffective', 'actually', 'made', 'things', 'worse']","11 12, 2012",A13UE6Y36CA6O3,Dave from CA,dont waste your money,1352678400
3091,B0009IK5SK,"[0, 0]",2,"['blades', 'last', 'month', 'before', 'new', 'onesi', 'harsh', 'winter', 'nyc', 'regular', 'wiper', 'blades', 'lasted', 'longernot', 'recommended']","04 4, 2014",A1DMR180CA6WDI,"JOE BAZZINI ""JOE BAZZINI""",Not very good at all,1396569600
3095,B0009IK5SK,"[0, 0]",1,"['dont', 'buy', 'rear', 'wiper', '1st', 'generation', 'xb', 'fit', 'oem', 'wiper', 'elsewhere']","02 7, 2013",A3ROI1IZH7NIUK,Mark Blomer,Does NOT fit Scion rear wipers!,1360195200
3100,B0009IK5SK,"[0, 0]",1,"['very', 'cheap', 'blade', 'mine', 'started', 'chattering', '1', 'week', 'returned', 'buy', 'quality', 'motorcraft', 'similar', 'blade', 'amazon', 'best', 'customer', 'service', 'took', 'back']","07 4, 2014",A23NQLJ2DEOJCJ,Reed,"Cheap blade, poor quality...",1404432000
3102,B0009IK5SK,"[0, 0]",1,"['worst', 'blade', 'used', 'assumed', 'first', 'one', 'defective', 'amazon', 'replaced', '2nd', 'one', 'bad', '30', 'blade', 'contact', 'glass', 'huge', 'portion', 'windshield', 'never', 'touched']","03 25, 2014",A3LGT6UZL99IW1,"Richard C. Drew ""Anaal Nathra/Uthe vas Bethod...",You get what you pay for,1395705600
3105,B0009IK5SK,"[2, 2]",1,"['amazon', 'page', 'shows', 'fit', '2002', 'toyota', 'highlander', 'double', 'checked', 'anco', 'web', 'sitehowever', 'blade', 'fit', '2002', 'toyota', 'highlander', 'fit', 'toyotas', 'rear', 'blade', 'wider', 'normal', 'base', 'blade', 'attaches', 'shafti', 'wrote', '3', 'times', 'anco', 'parent', 'company', 'asking', 'explain', 'listing', 'incorrect', 'never', 'responded', 'backi', 'later', 'purcahsed', 'trico', '12a', 'fit', '02', 'highlander']","05 5, 2011",AFMITL6YIFJNC,"sitiakab ""sitiakab""",Does not fit Toyota Highlander,1304553600
3116,B0009IK81E,"[1, 2]",1,"['used', '1', 'day', 'destroyed', 'itself', 'pine', 'needle', 'now', 'streaks', 'pine', 'needle', 'item', 'assume', 'dragged', 'unless', 'meticulous', 'clean', 'blades', 'before', 'use', 'everyday', 'out', 'car', 'clean', 'immediately', 'anytime', 'item', 'fall', 'onto', 'window', 'buy', 'unless', 'mind', 'streaks', 'damage', 'permanent', 'item', 'still', 'window']","12 7, 2012",A2NBQ9E181AC8O,Alan Duquette,micro edge easily damaged,1354838400
3218,B0009IQXFO,"[5, 8]",2,"['pour', 'good', 'amount', 'mix', 'water', 'bucket', 'lot', 'suds', 'apply', 'car', 'suds', 'dont', 'carry', 'overto', 'soap', 'soap', 'soap', 'nice', 'smell', 'itit', 'doesnt', 'remove', 'dirt', 'debris', 'better', 'next', 'soap', 'used', 'use', 'rain', 'x', 'carnauba', 'wax', 'great', 'car', 'wash', 'soap', 'left', 'car', 'shiny', 'washing', 'wax', 'bought', 'costco', '12', 'dollars', 'lasted', 'quite', 'wouldnt', 'go', 'back', 'doesnt', 'wax', 'car', 'dries', 'fairly', 'quickly', 'reason', 'leaves', 'soap', 'residue']","07 22, 2013",A3BVD73B3P9B9U,Mr. Huang,Missing Suds?,1374451200
3254,B0009IQXJ0,"[0, 0]",1,"['difficult', 'apply', 'gooey', 'made', 'mess', 'done', 'using', 'up', 'going', 'back', 'spray', 'meguiar', 'great', 'lasts']","01 16, 2014",A2V8GI1QU38PAZ,TC,Don't like it,1389830400
3263,B0009IQXM2,"[0, 0]",1,"['recommend', 'clean', 'tires', 'strip', 'wax', 'coating', 'rims', 'leave', 'rims', 'really', 'dry']","03 30, 2014",A0473259F6GQNBD88IYN,CHRIS,Great for tires......,1396137600
3267,B0009IQXM2,"[0, 1]",1,"['protection', 'liquid', 'leaked', 'over', 'place', 'placed', 'box', '20', 'times', 'size', 'brown', 'paper', 'top', 'used', 'ups', 'ups', 'handle', 'care', 'tends', 'happen', 'out', 'monies', 'allow', 'returns', 'product', 'damaged', 'shippment']","07 30, 2013",A2XPJ5FLVMFJAY,"David ""here.david""",DO NOT ORDER AS (1st time) AMAZON WILL NOT ALLOW RETURN ON THIS,1375142400
3269,B0009IQXM2,"[0, 4]",1,"['read', 'anyones', 'reviews', 'tell', 'bought', 'dozen', 'waste', 'ised', 'aluminum', 'plastic', 'chrome', 'rims', 'brake', 'dust', 'disolve', 'loosen', 'etcwater', 'scrubbing', 'works', 'better', 'find', 'another', 'product']","04 26, 2011",AUIVXYS8E4DEX,Dr. Christopher Lee,Horrid,1303776000
3270,B0009IQXM2,"[0, 1]",2,"['love', 'meguiars', 'products', 'wheel', 'cleaner', 'waste', 'money', 'really', 'clean', 'wheels', 'suggested', 'dont', 'waste', 'money']","03 13, 2012",AUURFFQ7ERIKC,Earhead,Not so good...,1331596800
3271,B0009IQXM2,"[0, 0]",2,"['ive', 'used', 'two', 'cars', 'im', 'sure', 'actually', 'better', 'soap', 'water', 'wash', 'gave', 'tires', 'wheels', 'before', 'applying', 'seems', 'fancy', 'spray', 'bottle', 'soap']","06 30, 2013",A2SL5IW096Z2BL,"Eric B. Wolf ""Geek of Many Trades""",Better than soap and water? I doubt it...,1372550400
