,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
2096,B00068KU1A,"[0, 1]",1,"['purchas', 'bottl', 'mother', 'glass', 'cleaner', 'simpli', 'use', 'mother', 'product', 'wax', 'seem', 'work', 'veri', 'well', 'cleaner', 'safe', 'tint', 'window', 'contain', 'ammoniaunfortun', 'extrem', 'disappoint', 'glass', 'cleaner', 'streak', 'more', 'windex', 'matter', 'tri', 'remov', 'streak', 'alli', 'notic', 'differ', 'streaki', 'between', 'nontint', 'tint', 'glass', 'both', 'pretti', 'badi', 'end', 'up', 'throw', 'bottl', 'out', 'went', 'back', 'use', 'microfib', 'cloth', 'purifieddistil', 'water']","10 28, 2010",AOWF9T81XMX2S,TronixSage,Didn't work for me.,1288224000
2106,B00068XCQU,"[0, 1]",2,"['tender', 'work', 'margin', 'well', 'few', 'year', 'ground', 'prong', 'pull', 'loos', 'plug', 'cut', 'unit', 'plug', 'replac', 'unit', 'keep', 'batteri', 'charg', 'ive', 'notic', 'voltmet', 'read', 'over', '13', 'volt', 'morn', 'seem', 'unit', 'keep', 'batteri', 'bare', 'charg', 'instead', 'fulli', 'charg', 'recent', 'bought', 'solar', 'prologix', '12', 'amp', 'batteri', 'charger', 'seem', 'much', 'better', 'built', 'keep', 'batteri', 'more', 'fulli', 'charg', 'prologix', 'literatur', 'believ', 'much', 'more', 'sophist', 'unit', 'batteri', 'tender', 'cost', 'few', 'buck', 'more']","10 22, 2012",A2TQST4IPVA0EC,ACAR,cheaply made and marginally effective,1350864000
2120,B00068XCQU,"[41, 44]",1,"['sever', 'vehicl', 'motorcycl', 'one', 'pre', 'china', 'batteri', 'tender', 'last', 'sever', 'year', 'well', 'bought', '3', 'more', 'batteri', 'tender', 'pluse', 'one', 'time', 'christma', '2010one', 'work', '9', 'month', 'go', 'float', 'mode', 'kill', 'batteri', 'overcharg', 'hook', 'up', 'next', 'differ', 'batteri', 'work', '2', 'week', 'befor', 'do', 'same', 'thingnot', 'go', 'float', 'mode', '3rd', 'one', 'last', 'less', 'week', 'each', '10', 'year', 'warranti', 'phone', 'deltran', 'spoke', 'tech', 'understand', 'problem', 'tri', 'differ', 'batteri', 'plug', 'outlet', 'first', 'blah', 'blah', 'blah', 'paid', 'over', '10000', '3', 'chines', 'junk', 'chargersi', 'send', 'back', 'check', 'cost', 'noth', 'found', 'wrong', 'charg', 'servic', 'fee', 'return', 'ship', 'poor', 'custom', 'servic', 'bad', 'qualiti', 'cost', 'lastdo', 'yourself', 'favor', 'buy', 'batteri', 'tender', 'chargersupd', '1152014', 'buy', 'xtreme', 'chargeri', '3', 'red', 'xtreme', 'charger', 'see', 'review']","12 22, 2011",A1SVZAVTTYVJVY,"Crazy Dane ""Boosted GSX 1300""",buy a different brand updated 1-15-2014,1324512000
2125,B00068XCQU,"[0, 0]",1,"['purchas', 'batteri', 'tender', 'keep', 'batteri', 'summer', 'car', 'charg', 'up', 'season', 'unfortun', 'batteri', 'tender', 'caus', 'batteri', 'leak', 'acid', 'over', 'trunk', 'car', 'caus', 'corros', 'requir', 'expens', 'repair', 'purchas', 'unit', 'specif', 'suppos', 'overcharg', 'car', 'batteri', 'mistak', 'dont', 'buy', 'product', 'doesnt', 'work', 'advertis', 'reach', 'out', 'manufactur', 'via', 'websit', 'twice', 'never', 'respond', 'faulti', 'product', 'custom', 'servic', 'fail']","07 7, 2014",AKAM7QXKZMJK1,dramenof,caused my battery to overcharge and leak everywhere.  What a mess!,1404691200
2150,B00068XCQU,"[5, 6]",1,"['add', 'list', 'failuresaft', '11', 'month', 'know', 'ignor', 'over', '30', 'one', 'star', 'review', 'thought', 'posit', 'fluke', 'well', 'mine', 'fri', 'nasti', 'burnt', 'electron', 'smell', 'light', 'output', 'hurt', 'car', 'attach', 'discov', 'veri', 'soon', 'failur', 'worth', 'hassl', 'indic', 'other', 'file', 'warranti', 'claim', 'order', 'xtreme', 'hope', 'longer', 'life', 'good', 'perform', 'anybodi', 'read', 'review', 'bewar', 'failur', 'rate', 'deltran', 'high']","09 3, 2013",A10JXY2MAO7MNC,L. S. Brodsky,I should have listened!,1378166400
2161,B00068XCQU,"[25, 29]",1,"['batteri', 'tender', 'plus', 'over', '2', 'year', 'work', 'great', 'those', '2', 'year', 'maintain', 'batteri', 'antiqu', 'car', 'recent', 'put', 'batteri', 'daili', 'driver', 'charg', 'light', 'didnt', 'come', 'test', 'sever', 'batteri', 'seem', 'lost', 'status', 'light', 'regul', 'put', 'out', 'constant', '15', 'volt', 'now', 'cook', 'whatev', 'batteri', 'hook', 'up', 'tech', 'support', 'rude', 'unknowledg', 'cours', 'warranti', 'joke', 'cost', '50', 'valu', 'make', 'use', 'warranti', 'consid', 'buy', 'anoth', 'mani', 'choic', 'now', 'market', 'cant', 'ration', 'batteri', 'tender', 'high', 'price', 'replac', 'vector', 'same', 'price', 'twice', 'featur']","12 29, 2010",A2L7PUTY37VZ47,"R. Muller ""AutoTraker""",Overpriced,1293580800
2175,B00068XCQU,"[3, 3]",1,"['bought', 'review', 'work', 'harley', 'use', 'agm', 'batteri', 'found', 'out', 'purchas', 'charger', 'charg', 'agm', 'batteri', 'simpl', 'batteri', 'maintain', 'product', 'big', 'heavi', 'expect', 'more']","02 3, 2013",AO377Z7UORPJ6,"TheMountainMan ""TheMountainMan""",Battery Tender Plus,1359849600
2184,B00069CN2I,"[0, 0]",1,"['save', 'money', 'cheap', 'plastic', 'stuff', 'wont', 'work', 'wont', 'stay', 'mirror', 'suppos', 'attach', 'fall', 'blow']","01 31, 2013",A3B2M802XA7PFD,bam0271,junk,1359590400
2197,B0006GF5SK,"[0, 0]",2,"['high', 'recommend', 'make', 'sure', 'ampl', 'water', 'start', '1', 'gallon', 'minimum', 'use', 'warm', 'cooler', 'weather', 'without', 'issueupd', '42014', 'camp', 'entir', 'season', 'found', 'didnt', 'work', 'veri', 'well', 'tissu', 'wast', 'didnt', 'seem', 'break', 'down', 'veri', 'well', 'certain', 'doesnt', 'mask', 'odor', 'veri', 'well', 'even', 'tri', 'use', '2', 'packet', 'instead', 'one', '30', 'gallon', 'tank', 'differ', 'asid', 'thing', 'be', 'veri', 'bluei', 'think', 'im', 'go', 'tri', 'tri', 'true', 'happi', 'camper', 'organ', 'treatment', 'next']","10 6, 2013",A2QGDRQTKTVZ2F,"D. DAY ""EnochLight""","Works great!!!! *UPDATE* ""meh""...",1381017600
2204,B0006GF5SK,"[1, 2]",1,"['use', 'liquid', 'blue', 'stuff', '4', 'year', 'never', 'problem', 'until', 'tri', 'blue', 'packet', 'now', 'call', 'out', 'pluber', 'toilet', 'paper', 'break', 'down', 'dont', 'wast', 'money', 'stuff', 'way', 'amazon', 'wont', 'return']","11 8, 2013",AEGMG7KV9DQ87,MLPJ,Toatl waste cost me a plumbing bill,1383868800
2216,B0006IX68O,"[1, 1]",2,"['work', 'crap', 'allow', 'enough', 'air', 'blow', 'line', 'out', 'save', 'money', 'use', 'air', 'nozzl', 'instead', 'trust']","10 3, 2013",A2KMRJ71KFB0JS,"Kurtglo ""K. Michael""",DOES NOT WORK!,1380758400
2222,B0006IX698,"[2, 3]",2,"['product', 'turn', 'petcock', 'valv', 'removinginstal', 'drain', 'plug', 'fault', 'read', 'descript', 'clear', 'want', 'tool', 'remov', 'drain', 'plug', 'atwood', '6', 'gal', 'water', 'heater', 'travel', 'trailer', 'nylon', 'plug', 'awkward', 'locat', 'without', 'long', 'socket', 'extens', 'dont', 'pain', 'screw', 'unscrew', 'even', 'though', 'plug', 'fingertight']","12 27, 2012",A3V9OBQ2W37DZG,Amazon Customer,Wasn't what I wanted,1356566400
2228,B0006IX7TW,"[4, 4]",2,"['unit', '2', 'month', 'work', 'fair', 'well', 'tab', 'bottom', 'unit', 'broke', 'month', 'use', 'tape', 'awhil', 'gave', 'up', 'tri', 'valterra', 'a102606', 'fridgecool', '1128', 'ma', 'fan', 'onoff', 'switch', 'ive', 'five', 'year', 'without', 'problem', 'valterra', 'much', 'easier', 'batteri']","11 12, 2012",A26YMU5WMJ04K8,Dan the Man,Breaks easily,1352678400
2244,B0006IX7WY,"[0, 0]",2,"['mayb', 'bussiz', 'class', 'motorhom', 'larger', 'refriger', 'use', 'good', 'rv', 'refriger', '26', 'ft', 'vehicl', 'decent', 'size', 'refriger', 'dont', 'use', 'larg', 'use', 'singl', 'bar', 'instead', 'work', 'well']","06 28, 2014",A3MQFJT98C9RP6,"Sergeant Buzzfuzz ""Pickwick""",Not for small RV refrigerators,1403913600
2254,B0006IX7Y2,"[0, 0]",2,"['broke', 'day', '1', 'bit', 'cheap', 'constructionwould', 'recommend', 'differ', 'product', 'even', 'differ', 'approach', 'togeth']","07 10, 2014",A1F5HPOD03SP86,Daren S.,would recommend different product,1404950400
2315,B0006IX87S,"[2, 4]",2,"['found', 'wash', 'car', 'home', 'florida', 'give', 'same', 'result', 'california', 'bay', 'area', 'water', 'much', 'spote', 'white', 'residu', 'leftsaw', 'review', 'one', 'use', 'filter', 'improv', 'car', 'wash', 'water', 'bought', 'filterprogreat', 'look', 'product', 'costgret', 'look', 'packagingproduct', 'screw', 'thread', 'fit', 'water', 'tight', 'water', 'sourc', 'hoseaft', 'few', 'gallon', 'water', 'come', 'out', 'clear', 'work', 'well', 'wash', 'car', 'rins', 'offconwat', 'flow', 'first', '60', 'normal', 'due', 'assum', 'flow', 'restrictionwat', 'flow', 'few', 'more', 'minut', 'less', '5', 'gallon', 'reduc', '10', 'normalth', 'reduc', 'flow', 'bare', 'remov', 'car', 'wash', 'soapfirst', 'few', 'gallon', 'lot', 'black', 'assum', 'carbon', 'color', 'water', 'becam', 'clean', 'clear', 'water', 'seen', 'bucketnot', 'verifi', 'high', 'flow', 'direct', 'labl', 'show', 'tri', 'upload', 'photo', 'lateroverallfor', 'florida', 'hose', 'water', 'space', 'coast', 'area', 'use', 'car', 'wash', 'good', 'product', 'motorcycl', 'small', 'product', 'okayfor', 'use', 'ideawould', 'buy', 'again']","02 4, 2013",A2VTVISFZQWOWY,"Harry Dresden P.I. ""fuego""",Washing the car spot reducer Florida water,1359936000
2342,B0006JJ588,"[3, 3]",2,"['valv', 'look', 'good', 'end', 'up', 'return', 'wouldnt', 'work', 'way', 'need', 'hook', 'rvs', 'water', 'system', 'applic', '2012', 'keyston', 'cougar', '327res']","02 10, 2013",A2I7FNNMP8ALI4,DaveM,Valve is good but returned it.,1360454400
2363,B0006JLW34,"[2, 2]",1,"['seem', 'good', 'idea', 'leak', 'incess', 'matter', 'much', 'tighten', 'even', 'teflon', 'tape', 'thread', 'return']","12 14, 2012",AQ8QDBFUEHUQB,Amazon Customer,Leaked,1355443200
2373,B0006JLW34,"[0, 0]",1,"['matter', 'littl', 'much', 'plummer', 'tape', 'use', 'unit', 'seal', 'butterfli', 'valv', 'metal', 'bend', 'easili', 'recommend', 'end', 'up', 'put', 'origin', 'plastic', 'plug', 'back', 'disappoint']","05 13, 2013",A1PWAQ3RHJUXNL,"Ron Graham ""CJ-7""",Poorly made,1368403200
2374,B0006JLW34,"[0, 0]",1,"['bought', 'valv', 'high', 'hope', 'simplifi', 'regular', 'drain', '6gal', 'atwood', 'rv', 'water', 'heater', 'remov', 'standard', 'nylon', 'plug', 'pain', 'due', 'locat', 'look', 'purchas', 'product', 'under', 'same', 'pretens', 'save', 'time', 'case', 'better', 'part', 'afternoonfirst', 'quick', 'explan', 'valv', 'work', 'actual', 'three', 'compon', 'play', '1', 'larg', 'diamet', 'plug', 'screw', 'water', 'heater', '2', 'secondari', 'plug', 'screw', 'first', '3', 'actual', 'valv', 'open', 'close', 'drain', 'water', 'believ', 'intent', 'design', 'allow', '34regular34', 'drain', 'water', 'heater', 'lastsmallest', 'valv', 'remov', 'medium', 'nut', 'use', 'perhap', 'end', 'season', 'allow', 'more', 'sediment', 'debri', 'exit', 'tank', 'quick', 'due', 'larger', 'diamet', 'sidenot', 'open', 'actual', 'valv', 'smallest', 'compon', 'drain', 'tank', 'veri', 'veri', 'slowli', 'sometim', 'trickl', 'cant', 'air', 'behind', 'water', 'case', 'open', 'pressur', 'relief', 'valv', 'addit', 'faucet', 'produc', 'accept', 'drain', 'ratewhil', 'valv', 'piec', 'never', 'issu', 'leak', 'compon', 'tri', 'screw', 'nut', 'without', 'teflon', 'tape', 'various', 'depth', 'matter', 'combin', 'alway', 'small', 'leak', 'come', 'piec', 'appear', 'way', 'practic', 'stop', 'leak', 'tri', 'wrap', 'nut', 'excess', 'teflon', 'tape', '5', 'wrap', 'availi', 'gave', 'up', '23', 'hour', 'tinker', 'return', 'valv', 'amazon', 'end', 'up', 'stick', 'standard', 'nylon', 'plug', 'hint', 'sear', 'sell', '1516', 'offset', 'wrench', 'perfect', 'remov', 'plug']","05 13, 2013",A2VXI950XOB9Q,SomeColoradoGuy,Useless because it leaks,1368403200
2375,B0006JLW34,"[1, 1]",2,"['valv', 'exact', 'need', 'make', 'drain', 'hot', 'water', 'tank', 'rv', 'breez', 'unfortun', 'arriv', 'qualiti', 'control', 'problem', 'thandl', 'proper', 'crimp', 'onto', 'valv', 'shaft', 'first', 'time', 'tri', 'use', 'valv', 'handl', 'came', 'right', 'hand', 'fool', 'aroung', 'nuisanc', 'return', 'rework', 'crimp', 'hammer', 'punch', 'make', 'secur', 'enough', 'use', 'valv', 'without', 'handl', 'come', 'loos', 'hope', 'work', 'loos', 'lost', 'due', 'vibrat', 'road']","10 7, 2012",ANFXRHQ3IM9KR,William D. Boehmer,Exactly the part I needed - but it arrived slightly defective,1349568000
2390,B0006MRQXG,"[3, 3]",2,"['first', 'fault', 'realiz', 'sold', 'singl', 'unit', 'pair', 'be', 'im', 'glad', 'didnt', 'buy', 'second', 'one', 'hard', 'plastic', 'slide', 'easili', 'take', 'hold', 'unless', 'put', 'rubber', 'mat', 'under', 'good', 'news', 'pick', 'up', 'pair', 'real', 'rubber', 'chock', 'harbor', 'freight', 'less', '20', 'buck', 'work', 'great']","07 21, 2013",A1WJLURZQEFD89,D. P. York,Too slippery,1374364800
2417,B0006MRQXG,"[3, 4]",2,"['dont', 'expect', 'made', 'hard', 'plastic', 'small', 'look', 'price', 'kick', 'yourself', 'expect', 'more', 'work', 'high', 'doubt', 'theyll', 'still', 'around', '10', 'year']","05 17, 2012",A3KBUTSIFX0K9V,Steve,Hard Plastic and Small Too!,1337212800
2473,B0006O2RV0,"[1, 4]",2,"['fit', 'wheel', 'need', 'hose', 'fit', 'more', 'stem', 'configur', '100', 'ident', 'except', '060', '0100', 'state', '11', 'hose', 'doesnt', 'recommend', 'type', 'hose', 'versatil', '100', 'nice', '60', 'fine', 'applic', 'bike', 'need', 'over', '60', 'look', '100', 'applic', 'care', 'drop', 'throw', 'away']","09 11, 2012",A2V1J3JT5OOZFO,Dragonwort Castle,Not universal,1347321600
2515,B000701HEQ,"[2, 6]",1,"['purchas', 'camco', '11553', 'anod', 'rod', 'atwood', 'heater', 'anod', 'poor', 'manufactur', 'slight', 'bend', 'shaft', 'slight', 'bend', 'enough', 'misalign', 'tread', 'cap', 'section', 'point', 'forc', 'place', 'cross', 'thread', 'femal', 'thread', 'water', 'heater', 'worth', 'time', 'hassl', 'return', 'scrap', 'event', 'anod', 'thread', 'proper', 'instruct', 'indic', 'pull', 'anod', 'onc', 'month', 'sure', 'keep', 'anod', 'remov', 'state', 'appar', 'remov', 'onc', 'month', 'corrod', 'posit', 'make', 'extrem', 'difficult', 'remov', 'decid', 'keep', 'factori', 'instal', 'nylon', 'drain', 'plug', 'plug', 'choic', 'previous', 'rv', 'over', '8', 'year', 'old', 'sold', 'never', 'corros', 'problem', 'nylon', 'plug', 'save', 'money']","09 30, 2010",A31E6C5TIIAEU6,Summer Campr,Poor quality control led to product which will not fit,1285804800
2537,B00074Q29W,"[1, 2]",1,"['easi', 'instal', '4th', 'day', 'self', 'tap', 'bolt', 'came', 'outstrip', 'out', 'frame', 'adjust', 'recommend', 'never', 'back', 'up', 'turn', 'tight', 'felt', 'help', 'pay', 'weld', 'place', 'lost', 'one', 'pin', '4three', 'bolt', 'probabl', 'buy', 'rees', 'equal', 'hitch', 'antisway', 'next', 'time', 'eaz', 'type']","07 29, 2012",A2V1J3JT5OOZFO,Dragonwort Castle,Self tapping bolts pulled out,1343520000
2548,B00075OSBK,"[3, 3]",1,"['dont', 'buy', 'optima', 'batteri', 'pure', 'junk', 'johnson', 'control', 'bought', 'optima', 'move', 'factori', 'mexico', 'gone', 'downhil', 'last', 'three', 'bought', 'went', 'bad', 'one', 'befor', 'even', 'use', 'bought', 'optima', 'power', '56', 'chevi', 'sat', 'unus', 'month', 'went', 'tri', 'start', 'new', 'motornoth', 'wouldnt', 'even', 'take', 'charg', 'save', 'money', 'one', 'local', 'part', 'store', 'warrantyfyi', 'essenti', 'auto', 'batteri', 'made', '2', 'compani', 'brand', 'exid', 'johnson', 'control', 'check', 'out']","11 29, 2013",A2IPBMCVNY8GPQ,JimmyM,Noooo Good,1385683200
2561,B000760FWU,"[1, 2]",2,"['small', 'realli', 'cheapli', 'construct', 'bought', 'stuff', 'store', 'build', 'cheaper', 'went', 'old', 'pop', 'up', 'trailer', 'trade']","03 31, 2013",A2YEIXQW6VNJG7,christopher,Jack,1364688000
2574,B000760FWU,"[0, 1]",1,"['stand', 'aluminum', 'center', 'shaft', 'handl', 'top', 'steel', 'mine', 'start', 'rust', 'within', 'week', 'use']","01 4, 2014",A4YV49T8Y0X94,"RobbyB ""RobbyB""",NOT ALUMINUM,1388793600
2608,B0007D5DZC,"[1, 5]",1,"['fram', 'oil', 'filter', 'noth', 'cardboard', 'insid', 'saw', 'sever', 'video', 'youtub', 'show', 'bad', 'cut', 'old', 'one', 'open', '3000', 'mi', 'see', 'true', 'true', 'cardboard', 'even', 'end', 'cap', 'even', 'tough', 'guard', 'fram', 'filter', 'what', 'wors', 'pleat', 'cardboard', 'pleat', 'close', 'shut', 'make', 'oil', 'seek', 'anoth', 'open', 'pleat', 'enter', 'mine', 'half', 'pleat', 'close', 'mean', 'half', 'oil', 'filter', 'workingnext', 'seem', 'pleat', 'row', 'connect', 'open', 'half', 'way', 'up', 'seam', 'glue', 'came', 'loos', 'mean', 'dirti', 'oil', 'pass', 'filter', 'togeth', 'worst', 'filter', 'market', 'doubt', 'fram', 'spent', 'much', 'money', 'blow', 'smoke', 'up', 'tail', 'believ', 'good', 'filterscut', 'old', 'fram', 'open', 'look', 'insid', 'dont', 'want', 'dirti', 'go', 'youtub', 'type', 'fram', 'oil', 'filter', 'noth', 'garbag', 'fram', 'couldnt', 'care', 'less', 'life', 'car', 'buy', 'anyth', 'fram', 'anyth']","07 21, 2012",ADX4D1J3CD17J,Told You So,TRASH!,1342828800
2627,B0007LMC1C,"[2, 2]",2,"['cheapo', 'replac', 'one', 'wore', 'out', 'tip', 'cover', 'metal', 'wire', 'wrap', 'around', 'bristl', 'pretti', 'much', 'guarante', 'itll', 'scratch', 'tire', 'until', 'find', 'good', 'rubber', 'tip', 'glue', 'wont', 'use', 'wheel', 'worth', 'send', 'back', 'one', 'buy', 'until', 'fix', 'littl', 'tip']","12 26, 2013",A2WA3CPIL2W2GT,Sweengolly,Good bristles but metal tip,1388016000
2690,B0007OWD2M,"[0, 0]",1,"['bought', 'due', 'posit', 'review', 'never', 'again', 'leav', 'streak', 'smudg', 'matter', 'tri', 'use', 'even', 'appli', 'more', 'onc', 'tri', 'window', 'glass', 'home', 'mirror', 'car', 'glass', 'same', 'result', 'realli', 'want', 'work', 'plain', 'water', 'better', 'rare', 'write', 'review', 'negat', 'one', 'earn']","09 13, 2013",AB5X63CW9O0R6,Just A Buyer,Stoner 91166 Invisible Glass Cleaner - 19 oz.,1379030400
2712,B0007QGT34,"[3, 9]",1,"['advic', 'friend', 'replac', 'toyota', 'tacoma', 'manual', 'transmiss', 'gear', 'oil', 'royal', 'purpl', 'max', 'start', 'encount', 'poor', 'shift', 'excess', 'gear', 'nois', 'two', 'month', 'shift', 'bad', 'opt', 'replac', 'previous', 'gear', 'oil', 'use', 'redlin', 'mt90', 'now', 'shift', 'back', 'be', 'easier', 'gear', 'nois', 'gone', 'price', 'oil', 'perform', 'better', 'veri', 'disappoint']","10 4, 2010",AWBEL8741Y0IR,DJ,Over Rated...,1286150400
2724,B0007RDVD4,"[0, 0]",1,"['bought', 'polish', 'chrome', 'wheel', 'powerbal', 'mini', 'huge', 'letdown', 'foam', 'start', 'disintegr', 'immedi', 'run', 'angl', 'wheel', 'surfac', 'foam', 'simpli', 'weak', 'rip', 'shred', 'use', 'veri', 'smooth', 'surfac', 'angl', 'ridg', 'bump', 'etc', 'your', 'polish', 'someth', 'simpl', 'shape', 'dont', 'need', 'first', 'place', 'grab', 'rag', 'youll', 'done', 'lot', 'faster']","06 9, 2014",A2GZNBSHUGZ85U,Brian D.,falls apart,1402272000
2760,B0007RDVH0,"[2, 3]",1,"['cost', 'abd', 'doesnt', 'work', 'better', 'easier', 'brush', 'anddeterg', 'clean', 'tire', 'rim', 'buy', 'again']","09 23, 2010",A29OH3JI952QW3,"Dan Briggs ""woodworker""",save ur money,1285200000
2761,B0007RDVH0,"[1, 3]",1,"['use', 'clean', 'expens', 'set', 'whitewal', 'tire', 'befor', 'sell', 'classic', 'car', 'auction', 'big', 'mistak', 'bought', 'want', 'use', 'someth', 'safe', 'clean', 'whitewal', 'ok', 'white', 'area', 'didnt', 'ruin', 'black', 'part', 'tire', 'end', 'up', 'discolor', 'streak', 'look', 'horribl', 'tire', 'look', 'better', 'befor', 'use', 'it409', 'simpl', 'green', 'better', 'clean', 'producti', 'never', 'trust', 'brand', 'product']","02 26, 2014",A350LKLQIZ1QY1,Flux Capacitor,Horrible! Tires looked better before I used it!,1393372800
2776,B0007RDVH0,"[0, 0]",2,"['bought', 'three', 'bottl', 'spray', 'veri', 'poor', 'came', 'out', 'blotch', 'cover', 'tire', 'well', 'take', 'spong', 'spread', 'even', 'tire', 'clean', 'veri', 'good', 'better', 'result', 'car', 'wash', 'sud']","04 10, 2014",ASTPTE6EJ22ZP,R. Mcalister,Doesn't spray well.,1397088000
2796,B0007TR4CQ,"[1, 2]",1,"['per', 'anoth', 'review', 'expir', 'date', 'give', 'break', 'mine', 'arriv', 'dec', '2012', 'expir', 'jul', '2016', '35', 'year', 'enjoy', 'purchas', 'perhap', 'resin', 'get', 'brittl', 'perhap', 'that', 'long', 'lawyer', 'want', 'wait', 'suitthey', 'placard', 'fair', 'note', 'descript', 'use', '29', 'tire', 'max', 'fine', 'car', 'trailer', 'usabl', 'motorhom', 'typic', 'start', '30', 'go', 'up', 'tight', 'curv', 'chock', 'mean', 'larger', 'tire', 'even', '30', '31', 'hit', 'top', 'chock', 'first', 'chock', 'hard', 'slick', 'plastic', 'grab', 'surfac', 'concret', 'asphalt', 'tire', 'push', 'chock', 'alongtoo', 'bad', 'realli', 'realli', 'beefi', 'chock', 'great', 'ergonom', 'design', 'allow', 'easili', 'grab', 'insert', 'extract', 'sad', 'dont', 'think', 'basic', 'purpos', 'function']","12 3, 2012",A2QC1R1PB432QD,G3,"Expiration date, wrong curve, too slick",1354492800
2815,B0007WTE08,"[8, 11]",1,"['wallpap', 'seam', 'roller', 'bought', 'plastic', 'one', 'low', '2', 'buck', 'u', 'rubber', 'one', '6', 'buck', 'hardwar', 'store', 'im', 'sure', 'roller', 'work', '13', 'buck', 'crazi', 'beat', 'heck', 'out', '2', 'dollar', 'one', 'still', 'go']","07 16, 2011",A15YJ2DV1S9ZP2,jdep,wow,1310774400
2836,B0007ZAJRM,"[0, 1]",2,"['6', 'year', 'old', 'mazda', '6', '25', 'liter', 'gh', '5', 'speed', 'shift', 'abrupt', '12', 'gear', 'tranni', 'filter', 'chang', 'drain', 'fill', '3x', 'befor', 'pour', 'whole', 'bottl', 'atf', 'requir', '85', 'liter', 'differ', 'still', 'shift', 'hard', 'doesnt', 'make', 'shift', 'wors', 'ill', 'give', '2', 'star', 'wast', 'though', 'cheap', 'gambl']","06 15, 2014",A15CQT1Y71J4G,Reeve Lim,Doesn't work for Mazda 6 GH,1402790400
2860,B00080QHMM,"[1, 1]",2,"['gaug', 'accur', 'easi', 'read', 'veri', 'difficult', 'good', 'seal', 'rubber', 'insid', 'stem', 'right', 'angl', 'good', 'seal', 'meantim', 'air', 'escap', 'game', 'tire', 'pressur', 'right', 'want']","01 3, 2012",A2WQUFBCB8DC66,DB Cooper,"accurate, but difficult to use",1325548800
2876,B00080QHMM,"[3, 3]",2,"['bought', 'tire', 'gaug', 'littl', 'over', 'two', 'month', 'ago', 'first', 'few', 'time', 'use', 'perform', 'admir', 'ergonom', 'clear', 'lcd', 'display', 'gave', 'fast', 'precis', 'readingfast', 'forward', 'end', 'june', 'three', 'use', 'be', 'store', 'glove', 'compart', 'otherwis', 'gaug', 'now', 'wild', 'read', 'tire', 'truck', '32', 'psi', 'four', 'week', 'ago', 'plug', 'today', 'regist', '415', 'psi', 'thought', 'mayb', 'heat', 'weve', 'past', 'week', 'chang', '95', 'psi', 'seem', 'littl', 'high', 'test', 'two', 'tire', 'gaug', 'read', '33', '335', 'psi', 'respect', 'use', 'pump', 'manual', 'gaug', 'drain', 'tire', 'inflat', '33', 'psi', 'test', 'tire', 'gaug', 'read', 'first', '415', 'psi', 'ten', 'second', 'later', '40', 'psiperhap', 'dud', 'gaug', 'that', 'much', 'soon', 'rais', 'red', 'flag', 'ill', 'look', 'next', 'tire', 'gaug', 'elsewher']","06 29, 2013",A3KZ7OH4VRL048,Jonathan,Perhaps I got a dud,1372464000
2884,B00080QHMM,"[28, 31]",1,"['bought', 'canadian', 'tire', 'within', 'year', 'tire', 'gaug', 'split', 'lengthwis', 'along', 'seam', 'make', 'useless', 'air', 'leak', 'out', 'side', 'doesnt', 'measur', 'pressur', 'give', 'one', 'star', 'lack', 'durabl', 'use', 'daili', 'mayb', '10', 'use']","06 10, 2010",A1231ZWZ66NDHF,ML,split along the side = useless gauge,1276128000
2885,B00080QHMM,"[6, 7]",2,"['purchas', 'tire', 'gaug', 'becuas', 'want', 'digit', 'display', 'gaug', 'provides1', 'psi', 'resolut', 'accutir', 'ms4021b', 'general', 'job', 'twoannoy', 'featur', 'chang', '1', 'batteri', 'replac', 'user2', 'valv', 'stem', 'accutir', 'ms4021b', 'make', 'seal', 'accur', 'readingref', '1', 'send', 'gage', 'manufactur', 'replac', 'batteri', 'free', 'charg', 'turnaround', 'time', 'more', 'two', 'week', 'call', 'servic', 'depart', 'both', 'time', 'batteri', 'replac', 'replac', 'tire', 'gaugefurthermor', 'batteri', 'last', 'more', 'year', 'use', 'tha', 'gaug', 'week', 'basi', 'vehiclesref', '2', 'appear', 'due', 'chuck', 'design', 'ie', 'contact', 'pin', 'notprotrud', 'far', 'enough', 'allow', 'posit', 'seal', 'valv', 'stemsi', 'still', 'search', 'digit', 'tire', 'gaug', 'allow', 'user', 'replac', 'batteri']","11 1, 2009",A2Z3LXLRFUG6R7,Motor Head,Not Recommended,1257033600
2890,B00080QHMM,"[1, 2]",1,"['wast', 'money', 'bough', 'mid', 'grade', '34full', 'size34', 'digit', 'gaug', 'found', 'one', '5lbs']","07 29, 2013",AUZINV544Y1ZC,RDR,Digital Tire gauge,1375056000
